model,dataset,arm,seed,knob,value,status,winner,val HR@20,val NDCG@20,val Recall@20,test HR@20,test NDCG@20,test Recall@20,train (s),wall (h),cfg.batch_size,cfg.k_embed_dim,cfg.lambda_reg,cfg.lambda_shared,cfg.learning_rate,cfg.mlp_hidden_count,cfg.n_epochs,cfg.num_factors,cfg.num_layers,cfg.num_neg
bpr,musical,causal,42,k_embed_dim,128,done,,0.0746,0.0187,0.0368,0.06183838172099361,0.015729859204780625,0.033233953007087,336.1743929386139,0.09622849875026279,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,42,k_embed_dim,256,done,,0.0754,0.0196,0.038,0.06204800335394613,0.016840127845608777,0.03441813166095818,515.3274323940277,0.1474126738972134,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,42,lambda_shared,1e-06,done,yes,0.0754,0.0197,0.0379,0.06225762498689865,0.016852406557396133,0.03444433436507724,571.1267290115356,0.1638675178421868,4096.0,256.0,,1e-06,0.05,,1000.0,,,
bpr,musical,causal,42,lambda_shared,1e-05,done,,0.0754,0.0197,0.0379,0.06225762498689865,0.016883724777285433,0.03444433436507724,564.8091058731079,0.16216367026170095,4096.0,256.0,,1e-05,0.05,,1000.0,,,
bpr,musical,causal,42,learning_rate,0.001,done,,0.0427,0.0102,0.0186,0.03857038046326381,0.010712656588704036,0.01874543394306318,3491.269218683243,0.9744920513365004,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,musical,causal,42,lambda_shared,0.001,done,,0.0754,0.0192,0.0376,0.060790273556231005,0.01651611508598743,0.03361211662177217,573.5811471939087,0.16438426143593257,4096.0,256.0,,0.001,0.05,,1000.0,,,
bpr,musical,causal,42,learning_rate,0.01,done,,0.076,0.0194,0.0378,0.06267686825280369,0.01620486336583259,0.034673262258682246,2210.3513493537903,0.619026756617758,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,musical,causal,42,lambda_shared,0.01,done,,0.0738,0.018,0.0363,0.06246724661985117,0.015348304069123965,0.03421874872869487,604.4017324447632,0.17224507239129808,4096.0,256.0,,0.01,0.05,,1000.0,,,
bpr,musical,causal,42,learning_rate,0.1,done,,0.0718,0.0183,0.0358,0.05963735457499214,0.015440762186363923,0.03232622593197922,397.6075382232666,0.11499586767620511,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,musical,causal,2026,baseline,,done,,0.07131316098707403,0.017611839917576335,0.03488008159247242,0.06110470600565979,0.015632451615779617,0.03333000462181091,387.6154079437256,0.11174824012650383,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,2026,k_embed_dim,32,done,,0.07021151586368977,0.017359101911632473,0.03471881417835233,0.05649303008070433,0.01369666550186984,0.029441486683403028,361.9735527038574,0.10478007402684954,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,2026,k_embed_dim,128,done,,0.07278202115158637,0.01811943825699005,0.03562622126797065,0.06246724661985117,0.016279154385360803,0.03442379208697163,539.1478192806244,0.15400692496034835,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,2026,k_embed_dim,256,done,,0.07417743830787309,0.018406311001468792,0.03745551722342723,0.06288648988575621,0.01599389991787332,0.034406360463700374,804.0937631130219,0.22993541750642987,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,musical,causal,2026,lambda_shared,1e-06,done,,0.07403055229142186,0.018376140768296304,0.037348919626420424,0.06299130070223247,0.016000111989725674,0.03455920957106159,802.4612572193146,0.22920179824034373,4096.0,256.0,,1e-06,0.05,,1000.0,,,
bpr,musical,causal,2026,lambda_shared,1e-05,done,,0.07410399529964748,0.01836915599003698,0.037372176579025196,0.06299130070223247,0.01599084279640643,0.034517285244471084,801.6281225681305,0.22885330332650078,4096.0,256.0,,1e-05,0.05,,1000.0,,,
bpr,musical,causal,2026,learning_rate,0.001,done,,0.042670387779083434,0.010372590790457641,0.01821257152693576,0.03951367781155015,0.010393475942470008,0.018756881417626502,3692.8134162425995,1.031680711640252,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,musical,causal,2026,lambda_shared,0.001,done,yes,0.077262044653349,0.0188336457447283,0.03865613008063924,0.06498270621528142,0.016315382407107015,0.03531362794955668,790.9990227222443,0.22570374442471397,4096.0,256.0,,0.001,0.05,,1000.0,,,
bpr,musical,causal,2026,learning_rate,0.01,done,,0.07417743830787309,0.018384349744226577,0.03541210964041743,0.059008489676134576,0.014876415492510833,0.03077581536128774,2037.9586055278778,0.5722748444477717,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,musical,causal,2026,lambda_shared,0.01,done,,0.0759400705052879,0.01868775733713896,0.03846455032565241,0.06194319253746987,0.016279916761848305,0.03381262474491532,1037.2027361392975,0.2942949254645242,4096.0,256.0,,0.01,0.05,,1000.0,,,
bpr,musical,causal,2026,learning_rate,0.1,done,,0.06382197414806111,0.015544025505679737,0.03240169688016305,0.054606435384131645,0.01420016584384688,0.03005093379582345,655.5798487663269,0.18810993678039975,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,baby,uniform,42,baseline,,done,,0.0332,0.0077,0.0165,0.026160472164619558,0.006599067769984543,0.01451010495957974,493.1932461261749,0.14198162708017562,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,42,k_embed_dim,32,done,,0.0312,0.0072,0.0149,0.025123624182485246,0.0061341958908481846,0.01382279123437179,390.11820244789124,0.11313378221458859,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,42,k_embed_dim,128,done,,0.0343,0.0079,0.0166,0.025681926942096027,0.006058724900097542,0.013973231869872524,566.8440804481506,0.163000391986635,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,42,k_embed_dim,256,done,yes,0.0352,0.0085,0.0179,0.025522411867921518,0.0066930966736123065,0.01482657043343733,1338.0115220546722,0.38145912720097436,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,42,lambda_shared,1e-06,done,,0.0351,0.0084,0.0179,0.02536289679374701,0.006681876129334095,0.014767689602104752,1398.8632264137268,0.39835193428728316,4096.0,256.0,,1e-06,0.05,,1000.0,,,
bpr,baby,uniform,42,lambda_shared,1e-05,done,,0.035,0.0084,0.0179,0.025283139256659756,0.006674803253328643,0.01474792063992073,1347.914617061615,0.38447443783283236,4096.0,256.0,,1e-05,0.05,,1000.0,,,
bpr,baby,uniform,42,learning_rate,0.001,done,,0.0264,0.005,0.0123,0.018583506141330357,0.0037903605431457792,0.009259364164100824,4995.014664888382,1.3974106330341762,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,baby,uniform,42,lambda_shared,0.001,done,,0.0357,0.0084,0.0179,0.025761684479183283,0.006538616979782567,0.014438954452900296,1433.7940526008606,0.4092376559972763,4096.0,256.0,,0.001,0.05,,1000.0,,,
bpr,baby,uniform,42,learning_rate,0.01,done,,0.0264,0.0049,0.0123,0.01746690062210879,0.0034414061115438806,0.008902451357681572,882.2413680553436,0.25586815933386486,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,baby,uniform,42,lambda_shared,0.01,done,,0.0298,0.0065,0.0146,0.02249162545860584,0.005321993336937904,0.012378389041802851,662.7380621433258,0.19519109739197624,4096.0,256.0,,0.01,0.05,,1000.0,,,
bpr,baby,uniform,42,learning_rate,0.1,done,,0.0326,0.0079,0.0165,0.024645078959961715,0.006180136526515797,0.014352393590773626,820.2431929111481,0.2388711506790585,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,baby,uniform,2026,baseline,,done,,0.03416247564677631,0.007828364088026708,0.017422673738807896,0.024485563885787206,0.005998164946989906,0.013694204748663898,618.8059277534485,0.1792458168665568,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,2026,k_embed_dim,32,done,,0.030084726564269856,0.006980738299689608,0.014977393276301354,0.02153453501355878,0.005375528484654418,0.011945305800075537,805.6458411216736,0.2311125154627694,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,2026,k_embed_dim,128,done,,0.03235014272121789,0.007717711970383382,0.01609886126018549,0.024166533737438187,0.005811034708440267,0.012787222157823762,940.3308849334717,0.2699374214145872,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,2026,k_embed_dim,256,done,,0.035838883602917856,0.008470559092834425,0.017628890609725122,0.02536289679374701,0.0057788355221761525,0.013606484608403486,1489.0633141994476,0.4269841398795446,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,baby,uniform,2026,lambda_shared,1e-06,done,yes,0.035748266956639935,0.008588790429179902,0.017811460105533708,0.025761684479183283,0.0057940101370903985,0.013766442780006258,1481.068636417389,0.424825244281027,4096.0,256.0,,1e-06,0.05,,1000.0,,,
bpr,baby,uniform,2026,lambda_shared,1e-05,done,,0.035838883602917856,0.008576840928078285,0.01779065946627446,0.025761684479183283,0.0058205418849802005,0.013766442780006258,1471.0718607902527,0.4222513814104928,4096.0,256.0,,1e-05,0.05,,1000.0,,,
bpr,baby,uniform,2026,learning_rate,0.001,done,,0.026324135743736123,0.005642231596769075,0.01245356408249368,0.01970011166055192,0.0038605765161504016,0.009744811217368697,5159.171319246292,1.4464877484242122,4096.0,256.0,,0.0001,0.001,,1000.0,,,
bpr,baby,uniform,2026,lambda_shared,0.001,done,,0.033482850799691904,0.008147047472129902,0.01710188166708943,0.024246291274525444,0.0056607530720560895,0.013355802002932378,1738.4247317314148,0.49604982561535305,4096.0,256.0,,0.001,0.05,,1000.0,,,
bpr,baby,uniform,2026,learning_rate,0.01,done,,0.02396810294051017,0.004514441038026919,0.01072867852100067,0.016509810177061733,0.0031317916028084166,0.007905324108570881,949.4001815319061,0.2765311417977015,4096.0,256.0,,0.0001,0.01,,1000.0,,,
bpr,baby,uniform,2026,lambda_shared,0.01,done,,0.03334692583027502,0.006587769695912405,0.016085372530018547,0.02336895836656564,0.004759356359729761,0.012805467691056678,807.7905488014221,0.23762802057796054,4096.0,256.0,,0.01,0.05,,1000.0,,,
bpr,baby,uniform,2026,learning_rate,0.1,done,,0.033573467445969826,0.008185550097997646,0.017097636498660397,0.022411867921518582,0.0057989011667894455,0.013050801325680993,1186.0173723697662,0.34270181556542717,4096.0,256.0,,0.0001,0.1,,1000.0,,,
bpr,baby,causal,42,baseline,,done,,0.0491,0.0121,0.0268,0.03262083266868719,0.00892353235320491,0.019487566725698114,426.7635147571564,0.12311244116889106,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,42,k_embed_dim,32,done,,0.0439,0.0114,0.0234,0.03429574094751954,0.009574575510085491,0.02094744599741176,350.62812423706055,0.10214119089974297,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,42,k_embed_dim,128,done,yes,0.0462,0.0127,0.0242,0.0327803477428617,0.010088429482304631,0.01970006044062091,406.5847406387329,0.11894191119405959,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,42,k_embed_dim,256,done,,0.0464,0.0118,0.0244,0.03581113415217738,0.010282364521589557,0.021828985668958602,1016.7776546478271,0.2924145154820548,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,42,lambda_shared,1e-06,done,,0.04621448960173984,0.012639076758192742,0.0242186988256726,0.03270059020577445,0.010129779749627437,0.019549850412439913,411.8924171924591,0.12045325809054905,4096.0,128.0,,1e-06,0.05,,1000.0,,,
bpr,baby,causal,42,lambda_shared,1e-05,done,,0.04621448960173984,0.012633634168346489,0.02418471758331838,0.03270059020577445,0.010127837395716403,0.019549850412439913,413.0951726436615,0.1200657516055637,4096.0,128.0,,1e-05,0.05,,1000.0,,,
bpr,baby,causal,42,learning_rate,0.001,done,,0.02537266095781795,0.005119690268922668,0.012073661181268866,0.017785930770457807,0.003602781418998403,0.008970371720259121,2342.1583795547485,0.657537669936816,4096.0,128.0,,0.0001,0.001,,1000.0,,,
bpr,baby,causal,42,lambda_shared,0.001,done,,0.04644103121743464,0.012127679210150014,0.024613234791773086,0.03238156005742543,0.00962823501929972,0.01914964050217,396.7959306240082,0.11545407527022891,4096.0,128.0,,0.001,0.05,,1000.0,,,
bpr,baby,causal,42,learning_rate,0.01,done,,0.025735127542929635,0.004840230302916799,0.011642437324577976,0.01730738554793428,0.0033326419608765276,0.008675464187003224,425.31266832351685,0.12326376530859205,4096.0,128.0,,0.0001,0.01,,1000.0,,,
bpr,baby,causal,42,lambda_shared,0.01,done,,0.0445380816455983,0.009886426317087808,0.024328537543901945,0.03214228744616366,0.00810066556322463,0.02061153641247217,564.7000796794891,0.16257360557715098,4096.0,128.0,,0.01,0.05,,1000.0,,,
bpr,baby,causal,42,learning_rate,0.1,done,,0.04145711567214897,0.010794175302218337,0.021987806064743244,0.030307864093156802,0.008516667548840019,0.01752119145868618,328.174396276474,0.09639038271374173,4096.0,128.0,,0.0001,0.1,,1000.0,,,
bpr,baby,causal,2026,baseline,,done,,0.04789089755788138,0.012426622378900331,0.025407623817556627,0.03940022332110384,0.011023756288650866,0.02313018444604891,485.77624464035034,0.14267039808962081,4096.0,64.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,2026,k_embed_dim,32,done,,0.04367722350595805,0.01098659513719004,0.023417501881007177,0.03293986281703621,0.008891428316845782,0.019378573730784204,533.984307050705,0.1556882557604048,4096.0,32.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,2026,k_embed_dim,128,done,,0.045263014815821664,0.01186739925298373,0.023834222960498246,0.03206252990907641,0.00931881567448957,0.01891693886775897,660.704464673996,0.19244079914357928,4096.0,128.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,2026,k_embed_dim,256,done,,0.049521997190883967,0.012011459353609739,0.026413040003112315,0.03724676981974796,0.009973836643823017,0.023269168300009833,1395.3055264949799,0.4011950969033771,4096.0,256.0,,0.0001,0.05,,1000.0,,,
bpr,baby,causal,2026,lambda_shared,1e-06,done,,0.04780028091160346,0.012468226639241502,0.025271698848139748,0.03924070824692934,0.01105530257230565,0.023152469640235058,477.6494436264038,0.14061640977859496,4096.0,64.0,,1e-06,0.05,,1000.0,,,
bpr,baby,causal,2026,lambda_shared,1e-05,done,yes,0.04780028091160346,0.012486987681642614,0.025271698848139748,0.03940022332110384,0.011076509633104638,0.02322988136740798,487.2700731754303,0.14333203468057845,4096.0,64.0,,1e-05,0.05,,1000.0,,,
bpr,baby,causal,2026,learning_rate,0.001,done,,0.02460241946445562,0.004996389614855981,0.011562974873165197,0.01930132397511565,0.004257470258419888,0.010384398808195725,2572.0822608470917,0.7220068165991042,4096.0,64.0,,0.0001,0.001,,1000.0,,,
bpr,baby,causal,2026,lambda_shared,0.001,done,,0.04789089755788138,0.012388592516290686,0.02585388678590742,0.03868240548731855,0.010779119392175723,0.022992140585773577,505.1789171695709,0.1484500213464101,4096.0,64.0,,0.001,0.05,,1000.0,,,
bpr,baby,causal,2026,learning_rate,0.01,done,,0.024783652757011464,0.004569241769940773,0.011233276712889163,0.01826447599298134,0.0033964300946414563,0.008937254126278871,484.1150176525116,0.14171638594733343,4096.0,64.0,,0.0001,0.01,,1000.0,,,
