model,dataset,arm,seed,knob,value,status,winner,val HR@20,val NDCG@20,val Recall@20,test HR@20,test NDCG@20,test Recall@20,train (s),wall (h),cfg.batch_size,cfg.k_embed_dim,cfg.lambda_reg,cfg.lambda_shared,cfg.learning_rate,cfg.mlp_hidden_count,cfg.n_epochs,cfg.num_factors,cfg.num_layers,cfg.num_neg
bpr,cellphone,causal,42,learning_rate,0.001,done,,0.014216268769579777,0.0038693448528276937,0.0089760688864944,0.011043812563470187,0.0030881925879304595,0.007565165857919155,24175.45893573761,6.764535534911685,4096.0,32.0,,0.0001,0.001,,1000.0,,,
bpr,cellphone,causal,42,lambda_shared,0.001,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,causal,42,learning_rate,0.01,done,,0.014680782110835044,0.0037812720737285736,0.009243095045460847,0.012095604236181634,0.0030833497488674346,0.008034612314260208,3930.9758851528168,1.1410689868529638,4096.0,32.0,,0.0001,0.01,,1000.0,,,
bpr,cellphone,causal,42,lambda_shared,0.01,missing,,,,,,,,,,,,,,,,,,,
bpr,cellphone,causal,42,learning_rate,0.1,missing,,,,,,,,,,,,,,,,,,,
lightgcn,musical,uniform,42,baseline,,done,,0.0699177438307873,0.017883767028902542,0.03512511862932467,0.058694057226705794,0.015841125801847728,0.032735205963116264,1135.7271103858948,0.3198949988020791,,,0.0001,,0.001,,,,3.0,
lightgcn,musical,uniform,42,num_layers,1,done,,0.05611045828437133,0.014073723599380592,0.02872656441262035,0.0470600565978409,0.012282152804634721,0.026476475544095518,782.2148010730743,0.22137760122617087,,,0.0001,,0.001,,,,1.0,
lightgcn,musical,uniform,42,num_layers,2,done,,0.06580493537015276,0.016935627457157237,0.03342330053570892,0.052929462320511475,0.01440912875134128,0.028836922041311566,929.937273979187,0.26249620139598845,,,0.0001,,0.001,,,,2.0,
lightgcn,musical,uniform,42,num_layers,4,done,yes,0.07212103407755582,0.01820843524868254,0.03557940049468331,0.06152394927156483,0.016482024006549016,0.033885195209217026,1237.587461233139,0.34814880126052433,,,0.0001,,0.001,,,,4.0,
lightgcn,musical,uniform,123,baseline,,done,,0.06837544065804935,0.017686436833048207,0.034223094441286454,0.05628340844775181,0.015311664038982617,0.031520173383909236,2835.2246956825256,0.8026130596796671,,,0.0001,,0.001,,,,3.0,
lightgcn,musical,uniform,123,num_layers,1,done,,0.058166862514688604,0.014514331155993298,0.02845053524043219,0.0470600565978409,0.012031542426228361,0.02509768385102324,2838.400797843933,0.8040331377585729,,,0.0001,,0.001,,,,1.0,
lightgcn,musical,uniform,123,num_layers,2,done,,0.06764101057579318,0.017245420210828727,0.03383405080846653,0.05188135415574888,0.014257282399446541,0.028749639523866943,3084.697678089142,0.8722632855176926,,,0.0001,,0.001,,,,2.0,
lightgcn,musical,uniform,123,num_layers,4,done,yes,0.07241480611045828,0.01867815738468572,0.03678370076827706,0.060790273556231005,0.016615592686094225,0.03373093276386638,1387.4734761714935,0.3905068340566423,,,0.0001,,0.001,,,,4.0,
lightgcn,musical,causal,42,baseline,,done,,0.07278202115158637,0.01856082461488773,0.03647397387136265,0.06152394927156483,0.016220098174401062,0.034273313107953084,1083.4893307685852,0.3050675474935108,,,0.0001,,0.001,,,,3.0,
lightgcn,musical,causal,42,num_layers,1,done,,0.06176556991774383,0.015446050460177264,0.03070026034627432,0.049470705376794884,0.013325693982925418,0.028279106050841076,712.2471165657043,0.2019096432791816,,,0.0001,,0.001,,,,1.0,
lightgcn,musical,causal,42,num_layers,2,done,,0.06866921269095182,0.017578533528126366,0.03382110103303642,0.05722670579603815,0.015398339190430908,0.03261952610895316,919.4439470767975,0.259537847770585,,,0.0001,,0.001,,,,2.0,
lightgcn,musical,causal,42,num_layers,4,done,yes,0.0754994124559342,0.019032530554142536,0.037914865185975165,0.062152814170422385,0.016558585649552014,0.03511499630074408,1324.8881268501282,0.3722587404648463,,,0.0001,,0.001,,,,4.0,
lightgcn,musical,causal,123,baseline,,done,,0.06881609870740306,0.017698999252702078,0.03509401078826601,0.055968975998323026,0.015507808002751648,0.03169474619251579,1207.3045372962952,0.3385642743772931,,,0.0001,,0.001,,,,3.0,
lightgcn,musical,causal,123,num_layers,1,done,,0.0620593419506463,0.015138285806332353,0.030614747062082562,0.050309191908604965,0.01314296710599848,0.027639804290388086,592.3953430652618,0.16751927071147496,,,0.0001,,0.001,,,,1.0,
lightgcn,musical,causal,123,num_layers,2,done,,0.07226792009400705,0.0185035849575697,0.03733789645828682,0.05670265171365685,0.015219741362061851,0.03143994144348491,726.6286296844482,0.20621877875592973,,,0.0001,,0.001,,,,2.0,
lightgcn,musical,causal,123,num_layers,4,done,yes,0.07285546415981199,0.01861407448181172,0.037062328138216964,0.05743632742899067,0.015661552971032364,0.032769215666661994,1614.5026803016663,0.4515586684147517,,,0.0001,,0.001,,,,4.0,
lightgcn,baby,uniform,42,baseline,,done,,0.02954102668660233,0.007320982312007248,0.014919914856564574,0.020258414420162706,0.005298590018121736,0.01169537066058699,2865.3366379737854,0.803773630062739,,,0.0001,,0.001,,,,3.0,
lightgcn,baby,uniform,42,num_layers,1,done,,0.02170268678356214,0.005339072440140935,0.011498917671406332,0.015393204657840167,0.004065929489337203,0.00936319555048032,1679.625331401825,0.4741232739554511,,,0.0001,,0.001,,,,1.0,
lightgcn,baby,uniform,42,num_layers,2,done,,0.02827239363871143,0.006772232162976476,0.014158824372900955,0.01962035412346467,0.005246211890463976,0.011627090061649005,2040.6217482089996,0.5744429132011202,,,0.0001,,0.001,,,,2.0,
lightgcn,baby,uniform,42,num_layers,4,done,yes,0.032123601105523085,0.008059363180298061,0.016434441833847326,0.020896474716860743,0.005310133178522961,0.01205781559819989,3418.382952928543,0.9574860221147538,,,0.0001,,0.001,,,,4.0,
lightgcn,baby,uniform,123,baseline,,done,,0.029178560101490645,0.007037633251620557,0.014237429251475538,0.020736959642686233,0.005484938262596686,0.012007360335941448,2522.5637781620026,0.7070282451974021,,,0.0001,,0.001,,,,3.0,
lightgcn,baby,uniform,123,num_layers,1,done,,0.022880703185175117,0.005777761400568598,0.012175083900757347,0.018104960918806826,0.004911880250048928,0.0117114210297404,1303.8424062728882,0.36805447075102066,,,0.0001,,0.001,,,,1.0,
lightgcn,baby,uniform,123,num_layers,2,done,yes,0.029405101717185446,0.0076166440420924715,0.014815321096830912,0.02121550486520976,0.005732070848462528,0.01239745744964586,1577.4846019744873,0.44652473423216077,,,0.0001,,0.001,,,,2.0,
lightgcn,baby,uniform,123,num_layers,4,done,,0.030764351411354265,0.007455488034804601,0.015407063578613933,0.022252352847344073,0.005963904882918813,0.013088607735381546,3453.953006505966,0.968120565281974,,,0.0001,,0.001,,,,4.0,
lightgcn,baby,causal,42,baseline,,done,,0.03117212631960491,0.007672098946023039,0.01557960107190651,0.02081671717977349,0.005541174795846716,0.012211812467447103,2892.721169233322,0.8110168491469489,,,0.0001,,0.001,,,,3.0,
lightgcn,baby,causal,42,num_layers,1,done,,0.022880703185175117,0.005465856292549749,0.011898693181131258,0.018184718455894082,0.004623050871670257,0.010607546326900663,1554.2087914943695,0.43946106129222445,,,0.0001,,0.001,,,,1.0,
lightgcn,baby,causal,42,num_layers,2,done,,0.03135335961216076,0.007543827127229271,0.016545295057631724,0.021295262402297017,0.005600992213239487,0.012816688696631315,1830.7120954990387,0.5161304342746734,,,0.0001,,0.001,,,,2.0,
lightgcn,baby,causal,42,num_layers,4,done,yes,0.03547641701780617,0.00855221951851804,0.01839809045172282,0.023927261126176425,0.0064413679983769566,0.01518175017264257,3426.4669370651245,0.9595384019613266,,,0.0001,,0.001,,,,4.0,
lightgcn,baby,causal,123,baseline,,done,,0.030130034887408817,0.007003190627256543,0.015147244830326496,0.020976232253948,0.005326076122761533,0.012001954624998222,3042.839686393738,0.8596023472812441,,,0.0001,,0.001,,,,3.0,
lightgcn,baby,causal,123,num_layers,1,done,,0.023741561324815367,0.005608855669429079,0.012042460302739371,0.016669325251236242,0.004544269527912865,0.010689472032635872,2169.5282893180847,0.6101966700288984,,,0.0001,,0.001,,,,1.0,
lightgcn,baby,causal,123,num_layers,2,done,,0.029450410040324407,0.006846066315458318,0.014271154578897792,0.01985962673472643,0.005193637023698701,0.011875801094693307,2002.6054179668427,0.5625595567623775,,,0.0001,,0.001,,,,2.0,
lightgcn,baby,causal,123,num_layers,4,done,yes,0.036563816773141224,0.008739020833352406,0.018398572096819537,0.025761684479183283,0.0065908454726080696,0.015248492962858944,2750.079956293106,0.7696493658092287,,,0.0001,,0.001,,,,4.0,
lightgcn,cellphone,uniform,42,baseline,,done,,0.018234849303229987,0.005354375215481895,0.01172193341290339,0.013383142318293921,0.004305560963395057,0.009512559465887391,29028.741717338562,8.179440411925317,,,0.0001,,0.001,,,,3.0,
lightgcn,cellphone,uniform,42,num_layers,1,done,,0.013740952792481366,0.0041913289309327825,0.009002410563613871,0.010300304656898303,0.0033263654775949995,0.007416246899690245,19718.112659215927,5.593191048039331,,,0.0001,,0.001,,,,1.0,
lightgcn,cellphone,uniform,42,num_layers,2,done,,0.0184509020200929,0.005580233563334126,0.011803444949482322,0.014235456259973887,0.004549954892629402,0.01019201495003605,25640.351526021957,7.237612372305658,,,0.0001,,0.001,,,,2.0,
lightgcn,cellphone,uniform,42,num_layers,4,missing,,,,,,,,,,,,,,,,,,,
lightgcn,cellphone,uniform,123,baseline,,done,,0.018191638759857406,0.005474146024584137,0.01197608209909714,0.013020455534600319,0.004234079938845829,0.009380535292740265,24126.893265247345,6.783924873868624,,,0.0001,,0.001,,,,3.0,
lightgcn,cellphone,uniform,123,num_layers,1,missing,,,,,,,,,,,,,,,,,,,
lightgcn,cellphone,uniform,123,num_layers,2,missing,,,,,,,,,,,,,,,,,,,
lightgcn,cellphone,uniform,123,num_layers,4,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,uniform,42,baseline,,done,,0.0282,0.0056,0.0133,0.019809244314013204,0.004280052921060488,0.009898440756705833,118.53880476951599,0.041862869527604846,256.0,,,,0.001,3.0,,8.0,,4.0
neumf,musical,uniform,42,num_factors,16,done,,0.0272,0.0054,0.0125,0.02452573105544492,0.0052297357183595985,0.012571222787795027,165.27933049201965,0.05712840775648753,256.0,,,,0.001,3.0,,16.0,,4.0
neumf,musical,uniform,42,num_factors,32,done,,0.0407,0.0084,0.0188,0.03574048841840478,0.008072997485120628,0.017417953539151848,265.3895916938782,0.09285678413179185,256.0,,,,0.001,3.0,,32.0,,4.0
neumf,musical,uniform,42,num_factors,64,done,,0.0358,0.0081,0.016,0.02746043391678021,0.006500499477585755,0.01429152952963504,468.4919981956482,0.17305691480636598,256.0,,,,0.001,3.0,,64.0,,4.0
neumf,musical,uniform,42,mlp_hidden_count,4,done,,0.0338,0.0071,0.0159,0.031128812493449325,0.006949312167028769,0.015562528301033756,444.4698872566223,0.1673322879605823,256.0,,,,0.001,4.0,,32.0,,4.0
neumf,musical,uniform,42,learning_rate,0.0001,done,,0.0402,0.0093,0.0183,0.03888481291269259,0.009916676594000041,0.019546542532077823,282.6731929779053,0.09815823508633507,256.0,,,,0.0001,3.0,,32.0,,4.0
neumf,musical,uniform,42,learning_rate,0.0005,done,,0.0441,0.0095,0.02,0.037522272298501205,0.0090114338385088,0.019107898088662353,276.1008496284485,0.09669948902395037,256.0,,,,0.0005,3.0,,32.0,,4.0
neumf,musical,uniform,42,learning_rate,0.005,done,,0.0333,0.007,0.0146,0.029032596163924118,0.005935910213652356,0.014289597124889308,268.72634291648865,0.09408490684297349,256.0,,,,0.005,3.0,,32.0,,4.0
neumf,musical,uniform,42,batch_size,128,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,uniform,42,batch_size,512,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,uniform,42,batch_size,1024,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,causal,42,baseline,,done,,0.0231,0.0045,0.0106,0.01802746043391678,0.0038300455258451563,0.009176108743764127,109.71331858634949,0.0388056437836753,256.0,,,,0.001,3.0,,8.0,,4.0
neumf,musical,causal,42,num_factors,16,done,,0.0347,0.0069,0.0163,0.027670055549732734,0.005486217968094006,0.01312130637593286,165.03344082832336,0.057225421998235916,256.0,,,,0.001,3.0,,16.0,,4.0
neumf,musical,causal,42,num_factors,32,done,,0.0345,0.0071,0.0161,0.028927785347447856,0.006539910010340102,0.01400876278916482,273.31045794487,0.09549549460411072,256.0,,,,0.001,3.0,,32.0,,4.0
neumf,musical,causal,42,num_factors,64,done,,0.0391,0.009,0.0187,0.03479719107011844,0.008434413877866507,0.01837407459721684,474.19699931144714,0.17497967481613158,256.0,,,,0.001,3.0,,64.0,,4.0
neumf,musical,causal,42,mlp_hidden_count,4,done,,0.0409,0.0091,0.0188,0.03678859658316738,0.008992298174876569,0.020293693261262055,798.7163188457489,0.33990687118636237,256.0,,,,0.001,4.0,,64.0,,4.0
neumf,musical,causal,42,learning_rate,0.0001,done,,0.03,0.0059,0.0142,0.025364217587255006,0.00551168966915975,0.013655376666329388,814.0347990989685,0.34177208536201054,256.0,,,,0.0001,4.0,,64.0,,4.0
neumf,musical,causal,42,learning_rate,0.0005,done,,0.0397,0.0095,0.0194,0.035321245152499736,0.008694469597158996,0.018025693798349087,759.4514856338501,0.31320890168348947,256.0,,,,0.0005,4.0,,64.0,,4.0
neumf,musical,causal,42,learning_rate,0.005,done,,0.0303,0.0066,0.0147,0.024420920238968663,0.005792995587110885,0.012650640911952773,764.7367911338806,0.31528142392635344,256.0,,,,0.005,4.0,,64.0,,4.0
neumf,musical,causal,42,batch_size,128,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,causal,42,batch_size,512,missing,,,,,,,,,,,,,,,,,,,
neumf,musical,causal,42,batch_size,1024,missing,,,,,,,,,,,,,,,,,,,
neumf,baby,uniform,42,baseline,,done,,0.0151,0.003,0.0069,0.011405327803477429,0.0024223323698545564,0.006028079986393774,449.13085412979126,0.13974593063195548,256.0,,,,0.001,3.0,,8.0,,4.0
neumf,baby,uniform,42,num_factors,16,done,,0.0183,0.0036,0.0087,0.012681448396873504,0.0028181097049599702,0.007099124543739971,752.5461165904999,0.23104296055104998,256.0,,,,0.001,3.0,,16.0,,4.0
neumf,baby,uniform,42,num_factors,32,done,,0.0185,0.0037,0.0086,0.01244217578561174,0.002915629202228457,0.006871598848811652,1277.7718448638916,0.3936566681332058,256.0,,,,0.001,3.0,,32.0,,4.0
neumf,baby,uniform,42,num_factors,64,done,,0.0172,0.0037,0.0079,0.012521933322698995,0.0027993779311084274,0.006477030876327605,2324.412244796753,0.7322908420032925,256.0,,,,0.001,3.0,,64.0,,4.0
neumf,baby,uniform,42,mlp_hidden_count,4,done,,0.0164,0.0035,0.0077,0.01260169085978625,0.002756572583022986,0.007182668422821887,2111.7456879615784,0.6715423415104548,256.0,,,,0.001,4.0,,32.0,,4.0
neumf,baby,uniform,42,learning_rate,0.0001,done,,0.024,0.0053,0.0115,0.017546658159196045,0.004033861778888121,0.009918173718866668,1232.954041481018,0.37981102771229214,256.0,,,,0.0001,3.0,,32.0,,4.0
neumf,baby,uniform,42,learning_rate,0.0005,done,,0.0205,0.0042,0.0099,0.014994416972403892,0.003542331867529641,0.008518571330270822,1231.7392120361328,0.3795135435130861,256.0,,,,0.0005,3.0,,32.0,,4.0
neumf,baby,uniform,42,learning_rate,0.005,done,,0.0192,0.0041,0.0096,0.013080236082309779,0.003024015570512549,0.006719198525753655,1231.985683441162,0.37996092975139617,256.0,,,,0.005,3.0,,32.0,,4.0
neumf,baby,uniform,42,batch_size,128,done,,0.0216,0.0049,0.0106,0.016908597862498004,0.0034788805301934405,0.009181170558876451,2423.7862327098846,0.7106118678384357,128.0,,,,0.0001,3.0,,32.0,,4.0
neumf,baby,uniform,42,batch_size,512,done,,0.0212,0.0047,0.0108,0.015871749880363693,0.0035424215194665367,0.008665687994674931,641.1048202514648,0.21550870365566677,512.0,,,,0.0001,3.0,,32.0,,4.0
neumf,baby,uniform,42,batch_size,1024,done,yes,0.0265,0.0055,0.0131,0.019540596586377412,0.004094796510799718,0.010544050399683393,351.8991434574127,0.13520887547069127,1024.0,,,,0.0001,3.0,,32.0,,4.0
neumf,baby,causal,42,baseline,,done,,0.014,0.0026,0.0061,0.009650661987557825,0.0021950171568870048,0.005150253057262809,460.4652433395386,0.1432081585460239,256.0,,,,0.001,3.0,,8.0,,4.0
neumf,baby,causal,42,num_factors,16,done,,0.0151,0.0029,0.0067,0.011804115488913702,0.0027340979083066586,0.006940086008042949,716.5569682121277,0.22031598541471692,256.0,,,,0.001,3.0,,16.0,,4.0
neumf,baby,causal,42,num_factors,32,done,,0.0166,0.0034,0.008,0.011564842877651938,0.002844137786056248,0.006621876117433152,1240.9782547950745,0.3820011905166838,256.0,,,,0.001,3.0,,32.0,,4.0
neumf,baby,causal,42,num_factors,64,done,,0.0206,0.0047,0.0104,0.014515871749880364,0.003395968655234712,0.008116277962240353,2278.902107000351,0.7189296611150106,256.0,,,,0.001,3.0,,64.0,,4.0
neumf,baby,causal,42,mlp_hidden_count,4,done,,0.0157,0.0034,0.0076,0.011485085340564683,0.0025014182594296267,0.0062975817047849865,3812.3280460834503,1.2332096779346466,256.0,,,,0.001,4.0,,64.0,,4.0
neumf,baby,causal,42,learning_rate,0.0001,done,,0.0138,0.0027,0.0066,0.00973041952464508,0.0024215037535449753,0.00571919627637305,2269.0401124954224,0.7162733260790507,256.0,,,,0.0001,3.0,,64.0,,4.0
neumf,baby,causal,42,learning_rate,0.0005,done,,0.0183,0.0039,0.0086,0.013399266230658798,0.0035879912500254535,0.007995346045145246,2276.9963846206665,0.7184665181901719,256.0,,,,0.0005,3.0,,64.0,,4.0
neumf,baby,causal,42,learning_rate,0.005,done,,0.0185,0.0041,0.0093,0.013399266230658798,0.003345540292340168,0.008155527923404167,2265.0097029209137,0.7151076883739895,256.0,,,,0.005,3.0,,64.0,,4.0
neumf,baby,causal,42,batch_size,128,missing,,,,,,,,,,,,,,,,,,,
neumf,baby,causal,42,batch_size,512,missing,,,,,,,,,,,,,,,,,,,
neumf,baby,causal,42,batch_size,1024,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,baseline,,done,,0.0053,0.0012,0.0031,0.004116494994922385,0.001005424345511574,0.0026527947607303476,1869.8593282699585,0.6841985511779786,256.0,,,,0.001,3.0,,8.0,,4.0
neumf,cellphone,uniform,42,num_factors,16,done,,0.0058,0.0014,0.0036,0.00493254025823299,0.0013178339779222864,0.0034940632412705547,3315.4132974147797,1.1657806445492638,256.0,,,,0.001,3.0,,16.0,,4.0
neumf,cellphone,uniform,42,num_factors,32,done,,0.0065,0.0016,0.004,0.005095749310895111,0.0015288657060634646,0.003603826366502271,5950.568396091461,2.102510570618841,256.0,,,,0.001,3.0,,32.0,,4.0
neumf,cellphone,uniform,42,num_factors,64,done,,0.0053,0.0015,0.0035,0.004660525170462788,0.0014137491016975585,0.0036323297271904542,11309.379597187042,4.224591485593054,256.0,,,,0.001,3.0,,64.0,,4.0
neumf,cellphone,uniform,42,mlp_hidden_count,4,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,learning_rate,0.0001,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,learning_rate,0.0005,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,learning_rate,0.005,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,batch_size,128,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,batch_size,512,missing,,,,,,,,,,,,,,,,,,,
neumf,cellphone,uniform,42,batch_size,1024,missing,,,,,,,,,,,,,,,,,,,
neumf-pretrain,musical,uniform,42,baseline,,done,,0.0559,0.0132,0.0259,0.04789854312965098,0.013047763532109492,0.024396151125205115,223.6556215286255,0.07069602727890015,256.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,num_factors,16,done,,0.0518,0.0127,0.025,0.045802326800125776,0.011697780326953632,0.02425760289014542,282.60905480384827,0.08968412578105926,256.0,,,,0.001,3.0,,16.0,,4.0
neumf-pretrain,musical,uniform,42,num_factors,32,done,,0.051,0.0117,0.0237,0.04265800230583796,0.01080930978778195,0.022212607673873216,400.1970479488373,0.130044673482577,256.0,,,,0.001,3.0,,32.0,,4.0
neumf-pretrain,musical,uniform,42,num_factors,64,done,,0.0493,0.0114,0.0234,0.04307724557174301,0.010247708900175843,0.02231690997666941,653.523092508316,0.22406611568397947,256.0,,,,0.001,3.0,,64.0,,4.0
neumf-pretrain,musical,uniform,42,mlp_hidden_count,4,done,,0.0447,0.0106,0.0211,0.03773189393145373,0.009376900132366663,0.019007357657656376,280.7526001930237,0.08899652851952447,256.0,,,,0.001,4.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,learning_rate,0.0001,done,,0.046,0.0111,0.0204,0.04443978618593439,0.012101312973085945,0.02208132083034046,214.49353289604187,0.06787800749142965,256.0,,,,0.0001,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,learning_rate,0.0005,done,,0.0544,0.013,0.0251,0.04999475945917619,0.013180183161535672,0.02572760593867482,216.95298218727112,0.06852018018563588,256.0,,,,0.0005,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,learning_rate,0.005,done,,0.0506,0.0123,0.0238,0.043601299654124306,0.0111424375708134,0.0217830841537661,213.88953709602356,0.06767188628514607,256.0,,,,0.005,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,batch_size,128,done,,0.05199764982373678,0.012682627059628793,0.024176345042728618,0.046221570066030816,0.011786549898230064,0.02435869939197602,401.9322874546051,0.11903231660525004,128.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,batch_size,512,done,,0.0525117508813161,0.012567612693884267,0.025338144503573024,0.04517346190126821,0.01212008207190069,0.022993518772323994,106.75493597984314,0.0369563219944636,512.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,musical,uniform,42,batch_size,1024,done,yes,0.05566980023501763,0.013387935914944978,0.024894476325062725,0.04695524578136464,0.01258304987837866,0.02390095209643271,81.57159042358398,0.03001486791504754,1024.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,baseline,,done,,0.0579,0.0128,0.0276,0.044544597002410646,0.010707900912352263,0.023939415789725832,223.40301275253296,0.07032058835029602,256.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,num_factors,16,done,,0.0514,0.0106,0.0244,0.043286867204695524,0.010294250384656065,0.023069397410784738,278.2861895561218,0.08825883150100708,256.0,,,,0.001,3.0,,16.0,,4.0
neumf-pretrain,musical,causal,42,num_factors,32,done,,0.052,0.0122,0.0252,0.04391573210355309,0.011004599289601347,0.02346977849087776,404.9215512275696,0.13143723911709257,256.0,,,,0.001,3.0,,32.0,,4.0
neumf-pretrain,musical,causal,42,num_factors,64,done,,0.0526,0.0125,0.0259,0.047164867414317156,0.01137593952035801,0.02454411380199077,658.6895844936371,0.22539659639199575,256.0,,,,0.001,3.0,,64.0,,4.0
neumf-pretrain,musical,causal,42,mlp_hidden_count,4,done,,0.042156286721504115,0.008729902085549138,0.020382084534145264,0.03563567760192852,0.008166885864668284,0.019297815111008334,271.6124002933502,0.08323668678601583,256.0,,,,0.001,4.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,learning_rate,0.0001,done,yes,0.060517038777908344,0.014341154709888806,0.027800753478827454,0.05083324599098627,0.01378681085722249,0.025815354220918865,207.9609134197235,0.06521179245577918,256.0,,,,0.0001,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,learning_rate,0.0005,done,,0.06037015276145711,0.013690689320020471,0.028471885622690114,0.05146211088984383,0.012391177581933378,0.026036310236740818,208.39198088645935,0.06534668061468336,256.0,,,,0.0005,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,learning_rate,0.005,done,,0.046856639247943595,0.009927588559845936,0.021752670683343942,0.03815113719735877,0.008833691104463793,0.020773669798466808,207.79943251609802,0.06514111287064023,256.0,,,,0.005,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,batch_size,128,done,,0.059195064629847235,0.013662991262308345,0.02788112452338256,0.049785137826223666,0.01311667321346609,0.025791257563869692,400.7514729499817,0.11881774796379937,128.0,,,,0.0001,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,batch_size,512,done,,0.059709165687426555,0.013769232660542566,0.027439652207330897,0.052929462320511475,0.013946077439409489,0.026964746248687194,113.29423642158508,0.03879015862941742,512.0,,,,0.0001,3.0,,8.0,,4.0
neumf-pretrain,musical,causal,42,batch_size,1024,done,,0.06059048178613396,0.01394327189891213,0.027806714047378663,0.05397757048527408,0.014064796766076543,0.027507924902126814,88.65153098106384,0.03231156647205353,1024.0,,,,0.0001,3.0,,8.0,,4.0
neumf-pretrain,baby,uniform,42,baseline,,done,,0.0216,0.0046,0.0103,0.014675386824054873,0.0032200143473733274,0.00790191415024276,827.4495208263397,0.24577013770739237,256.0,,,,0.001,3.0,,8.0,,4.0
neumf-pretrain,baby,uniform,42,num_factors,16,done,,0.0222,0.0046,0.0104,0.01826447599298134,0.004404157270456988,0.010360128960026447,1100.4037728309631,0.32766936745908526,256.0,,,,0.001,3.0,,16.0,,4.0
neumf-pretrain,baby,uniform,42,num_factors,32,done,,0.0256,0.0059,0.0128,0.01746690062210879,0.004208524417347157,0.010191752785708337,1773.9425768852234,0.5316154415077633,256.0,,,,0.001,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,num_factors,64,done,,0.0237,0.0055,0.0122,0.016190780028712715,0.0038027350837328603,0.008917399747540824,3555.083438396454,1.0855413934257296,256.0,,,,0.001,3.0,,64.0,,4.0
neumf-pretrain,baby,uniform,42,mlp_hidden_count,4,done,,0.026460060713153006,0.005837481318165105,0.013214082981406977,0.016031264954538205,0.004193936357001632,0.009763926213712979,2617.205356359482,0.7710700851016574,256.0,,,,0.001,4.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,learning_rate,0.0001,done,,0.026142902451180283,0.005824537369274692,0.012975016102868109,0.017626415696283298,0.004572034796919216,0.010089183904361617,1612.827659368515,0.4717506637838152,256.0,,,,0.0001,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,learning_rate,0.0005,done,,0.02736622717593222,0.006087902812071027,0.013984251005120883,0.01962035412346467,0.00483520007201982,0.010694357060052399,1612.851212978363,0.47221717615922293,256.0,,,,0.0005,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,learning_rate,0.005,done,,0.024194644556204976,0.005733998109567574,0.012509571875261033,0.016111022491625458,0.003768551849664023,0.00872506438824769,1620.8015990257263,0.4739991309907701,256.0,,,,0.005,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,batch_size,128,done,,0.023424403062842644,0.005325329978714241,0.011605477062842253,0.01714787047375977,0.004008247718748392,0.00973556673821985,3157.993574142456,0.9010295876529482,128.0,,,,0.0005,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,batch_size,512,done,,0.031625209550994515,0.0072677963157850925,0.016194594331026935,0.021295262402297017,0.005075620584471163,0.011906944193880145,833.832879781723,0.255322655638059,512.0,,,,0.0005,3.0,,32.0,,4.0
neumf-pretrain,baby,uniform,42,batch_size,1024,done,yes,0.0319876761361062,0.007678715650800043,0.01570150032252048,0.02233211038443133,0.005182366766952961,0.011779390956633322,481.38944721221924,0.1575581642654207,1024.0,,,,0.0005,3.0,,32.0,,4.0
neumf-pretrain,baby,causal,42,baseline,,done,,0.012550405509492093,0.0022286671391235444,0.005736707853265768,0.007337693412027437,0.0014832822969113152,0.004210557872894958,703.728119134903,0.20777480363845824,256.0,,,,0.001,3.0,,8.0,,4.0
